Instance_number,author_guid,account_age,author_type,average_hashtags,average_links,average_minutes_between_posts,average_post_lenth,average_posts_per_day_active_days,average_posts_per_day_total,average_user_mentions,boost_score_avg,boost_score_std_dev,boost_score_sum,boosting_timeslots_count,count_authors_sharing_boosted_posts,friends_followers_ratio,number_followers,number_friends,number_of_crawled_posts,number_of_posts,number_pointed_posts,number_pointers,Cluster
41,0e7cc9848c8332f5ae0354acd45833c9,378,1,0,1,?,7,1,3,1,0.166763,0,0.166763,1,90,25.5,24,612,1,1174,1,1,cluster1
42,0e9b43f6024939c48710647ed6b2f87b,402,1,0,1,?,7,1,3,1,0.025,0,0.025,0,0,18.733333,30,562,1,1364,1,1,cluster3
43,0eab9a92b04e341fa91914f0f63b7b07,509,?,0,0,?,6,1,36,0,?,?,?,?,?,0.651786,336,219,1,18662,?,?,cluster6
44,0eb68672f9a53ff98e56f518b57b31fa,374,1,0,1,?,7,1,3,1,0.166763,0,0.166763,1,90,9.258065,31,287,1,1445,1,1,cluster1
45,0ee9b06ddb833baea14735b22933a88b,20,1,0,1,0.283333,12.5,2,6,1,0.005471,0.001556,0.010941,0,0,0,3,0,2,131,2,2,cluster3
46,0fe59ce40ed9347c879014af9f9cfaac,559,?,0,0,?,7,1,16,0,?,?,?,?,?,0.602941,476,287,1,9247,?,?,cluster6
47,100183eb27c534e18e64afce2835a3f3,1518,?,0,0,0.116667,24,2,3,1,?,?,?,?,?,2.638484,343,905,2,5137,?,?,cluster6
48,1027a90b7a15364e820bfbaac02db500,2589,?,0,0,?,1,1,6,0,0,0,0,0,0,0.070502,13489,951,1,16460,1,1,cluster2
49,10aabc5b84bf34eab148355c1f6fc85f,175,?,0,2,26216.5,15.666667,1.5,197,0,0,0,0,0,0,0.769231,52,40,3,34528,2,2,cluster4
50,11b50f3303ef3bb298e03c52a3f0e567,18,1,0,1,?,10,1,4,1,0,0,0,0,0,112.666667,3,338,1,73,1,1,cluster3
51,1227a24136c835aab5d005c61dbfc491,595,?,0,0,?,8,1,0,0,0,0,0,0,0,1.512195,41,62,1,89,1,1,cluster2
52,122ef0221da4332688be054488a25aeb,1270,?,0,0,?,3,1,42,1,?,?,?,?,?,0.882421,859,758,1,54405,?,?,cluster6
53,12346a2a9666387d9b5bf1794fdbcdc1,19,1,0,1,15.983333,12.5,2,7,1,0.005471,0.001556,0.010941,0,0,34.111111,9,307,2,135,2,2,cluster3
54,1241884ae2143c8eae720ff52773eb0f,571,?,0,0,?,0,1,26,0,?,?,?,?,?,0.452135,679,307,1,15006,?,?,cluster6
55,1243f923cf5d32b081d82f0aee8a2f3d,265,?,0,2,?,16,1,78,0,?,?,?,?,?,0.285068,221,63,1,20917,?,?,cluster6
56,126a7568836d3b599840935287c93cea,11,1,0,1,?,10,1,3,1,0,0,0,0,0,0,0,80,1,34,1,1,cluster3
57,12b83043db51374283e67c9e8b75cb20,93,?,0,2,?,19,1,84,0,?,?,?,?,?,0.689655,29,20,1,7841,?,?,cluster6
58,12d193c00fdf32ca82772bcb091a5b6f,833,1,0,1,?,7,1,1,1,0,0,0,0,0,22.473684,38,854,1,1417,1,1,cluster3
59,13a9f5bd9bb03ed2a2cc02b4725dc784,251,?,0,2,101.691667,17.666667,3,227,0,?,?,?,?,?,0.625,64,40,3,57181,?,?,cluster6
60,143d7e8c660b3471b2ee46bc15087bf1,2307,?,0,2,?,15,1,19,1,?,?,?,?,?,0.03038,16063,488,1,44691,?,?,cluster6
61,1445308024c03245929aceffd924e671,12,1,0,1,?,15,1,0,1,0.007027,0,0.007027,0,0,0,0,5,1,2,1,1,cluster3
62,1486df5964cd3f8d860f52166cab0827,430,1,0,1,?,7,1,3,1,0.025,0,0.025,0,0,18.8,30,564,1,1340,1,1,cluster3
63,148b1f237bb93970b8e968271f6ee940,1261,?,0,0,?,5,1,95,1,?,?,?,?,?,0.130885,19689,2577,1,120788,?,?,cluster6
64,14cb351185da32c79e56b9d98c13599b,99,?,0,1,?,6,1,116,0,0,0,0,0,0,7.560311,514,3886,1,11576,1,1,cluster2
65,15584169f64a37a1bcabdb50e02d9e6f,1687,?,0,1,?,19,1,56,0,0,0,0,0,0,0.912802,3968,3622,1,94500,1,1,cluster2
66,1613ab17657e3104826648f6a8e880f0,12,?,0,1,?,10,1,9,1,0.019723,0,0.019723,1,191,49.8,5,249,1,114,1,1,cluster0
67,161d4e11b3e8326aa077751ad6684ec4,430,1,0,1,?,7,1,4,1,0.025,0,0.025,0,0,12.895833,48,619,1,1974,1,1,cluster3
68,16a3a9bd786f31caa7ffb82a3a2d9651,184,1,0,1,?,11,1,0,0,0,0,0,0,0,0.949791,478,454,1,14,1,1,cluster3
69,16ca2f10cd5f3f1da0952a3147dc86ec,145,?,0,1,?,14,1,9,0,0,0,0,0,0,2.214976,414,917,1,1331,1,1,cluster3
70,170f42757b683adcaeca66eaba8b9f57,1452,?,0,2,?,16,1,53,0,0,0,0,0,0,0.894759,7155,6402,1,77709,1,1,cluster2
71,174c2ccc0745382d9da5496ba87c23cd,436,1,0,1,?,7,1,2,1,0.025,0,0.025,0,0,12.382353,68,842,1,1283,1,1,cluster3
72,1755543d554a3994b9a2596984d70018,19,1,0,1,19.75,12.5,2,5,1,0.005471,0.001556,0.010941,0,0,309,1,309,2,104,2,2,cluster3
73,184a61027b4934ea87cf770b2342c409,11,?,0,1,?,10,1,15,1,0.00098,0,0.00098,0,0,78,4,312,1,165,1,1,cluster3
74,185eb60196493c71bf28a6466c9a40ab,3313,?,0,2,?,15,1,0,1,?,?,?,?,?,0.205703,3121,642,1,1296,?,?,cluster6
75,186c62aba1c6329db27a7a50a324eaf6,1869,?,0,2,?,10,1,7,0,0,0,0,0,0,1.013197,13488,13666,1,14026,1,1,cluster2
76,193b421216cf3ae5abeb44f5ad184aae,2010,?,0,1,?,9,1,5,0,?,?,?,?,?,0.389254,912,355,1,11310,?,?,cluster6
77,198ba340d7793ec0840be23def208188,12,?,0,1,-1.65,10.5,2,1,1,0.002419,0.002419,0.004837,0,0,0,0,2,2,14,2,2,cluster3
78,19b0ba65dfef3a36bdaeb1c8933dd5b8,526,?,0,1,?,20,1,3,0,0,0,0,0,0,1.833333,72,132,1,2102,1,1,cluster3
79,1a5337b690543ee78501ff1a48c5e57c,11,1,0,1,?,10,1,1,1,0,0,0,0,0,84,1,84,1,14,1,1,cluster3
80,1a8347af28b23072a6c8196e596eba54,903,?,0,0,?,8,1,173,0,0,0,0,0,0,1.067198,1756,1874,1,156616,1,1,cluster2
81,1aa5dc7081443efb8b8303f635679eb4,1230,?,0,0,37.666667,23.5,2,3,1,?,?,?,?,?,4.05036,139,563,2,4244,?,?,cluster6
82,1ace77acab3635399985a14f2c706560,11,1,0,1,?,10,1,2,1,0,0,0,0,0,109,1,109,1,25,1,1,cluster3
83,1af47b55f6c13405aa75c4cc0e22aa4b,19,1,0,1,150.1,12.5,1,5,1,0.004132,0.002895,0.008264,0,0,158.5,2,317,2,101,2,2,cluster3
84,1b1c917ef30b36e7919096c529b5e1b3,11,1,0,1,?,10,1,1,1,0,0,0,0,0,0,0,0,1,13,1,1,cluster3
85,1b1f87ac218c3fbfa2630e857a132241,12,?,0,1,?,10,1,13,1,0.003914,0,0.003914,0,0,150.5,2,301,1,156,1,1,cluster3
86,1b67c4b1af2d3c4e998ceceeea8195ad,313,?,0,1,1697.566667,23,1,4,0,0,0,0,0,0,0.347855,4499,1565,2,1492,2,2,cluster2
87,1c2559e8e5de3784a8fdcc579351d436,19,1,0,1,20.95,12.5,2,3,1,0.013375,0.006348,0.02675,1,191,64.2,5,321,2,61,2,2,cluster0
88,1c57d639084d355da097b3748b3b1177,19,1,0,1,11.683333,12.5,2,3,1,0.005471,0.001556,0.010941,0,0,0,3,0,2,62,2,2,cluster3
89,1c9f92da84d03b1581573f0bb3893a4a,20,1,0,1,17.683333,12.5,2,6,1,0.005471,0.001556,0.010941,0,0,23.846154,13,310,2,135,2,2,cluster3
90,1d2c57a7633e39ffa7e5b5fb71356f74,876,1,0,1,?,7,1,1,1,0.166763,0,0.166763,1,90,12.705882,17,216,1,958,1,1,cluster1
91,1dbdc517b5c936e3954dae7a46dd7d5d,1985,?,0,2,?,17,1,3,0,?,?,?,?,?,0.846478,3081,2608,1,7698,?,?,cluster6
92,1ed8560ba5f3319089937640596387a7,1082,?,0,1,?,23,1,28,1,0,0,0,0,0,10.67706,449,4794,1,30865,1,1,cluster2
93,1f64dbe1ec453e0984f2803c72fc8e6a,676,?,0,1,138.066667,13,2,65,0,?,?,?,?,?,0.29,300,87,2,44462,?,?,cluster6
94,1fb0bd5f58dc3c4a9a808e1ead01cd4e,1656,?,0,0,?,13,1,103,3,?,?,?,?,?,0.530102,1960,1039,1,172115,?,?,cluster6
95,21256bf20c2339f4a6e25511c27a1e0b,1169,?,0,2,?,15,1,355,1,?,?,?,?,?,0.857937,2879,2470,1,415448,?,?,cluster6
96,212bedf6dab93032a2b46c26c71f53e5,1273,?,0,0,?,20,1,13,3,?,?,?,?,?,1.004619,12125,12181,1,17582,?,?,cluster6
97,21ab5d644cf6373b99978a5e0805fcfc,167,?,0,1.333333,10916.783333,17,1.5,1201,0,0.005212,0.003685,0.015635,0,0,0,225,0,6,200594,3,5,cluster4
98,21be3c7871af3546b2f18ddf8fd30858,2623,?,0,1,?,20,1,0,0,?,?,?,?,?,0.507519,266,135,1,1548,?,?,cluster6
99,2218bc774816332289e7c7906374d500,1662,?,0,0,?,2,1,38,0,?,?,?,?,?,0.964809,341,329,1,64398,?,?,cluster6
100,222966de8d533fffb7c0fd8cc3e900f7,19,1,0,1,86.7,12.5,2,5,1,0.013541,0.006514,0.027082,1,191,24.461538,13,318,2,102,2,2,cluster0
101,22492909c01e351897052a8dd7806b06,1594,?,0,1,1042.4,12,2,337,0,0,0,0,0,0,0.80518,67298,54187,2,537512,2,2,cluster5
102,2271499e7b633553ad61997b842d7368,2730,?,0,0,?,7,1,3,0,?,?,?,?,?,0.017074,4744,81,1,8703,?,?,cluster6
103,22d49342a8e13431a15c6a44f4f98250,961,1,0,1,?,7,1,1,1,0.426704,0,0.426704,1,90,7.6,30,228,1,1298,1,1,cluster1
104,2371fe068cc936258078df5b04a950d6,1287,1,0,1,144.483333,12,2,0,1,0.054446,0,0.054446,0,0,5.38247,251,1351,2,273,1,2,cluster3
105,2386e23616ca3bc48a801cf2b4d2d974,99,?,0,1,3180,6,1,128,0,0.000001,0,0.000001,0,0,8.144681,470,3828,2,12759,1,2,cluster2
106,23c8989539103fc59992a58f18c209ba,312,1,0,1,?,7,1,4,1,0,0,0,0,0,15.538462,39,606,1,1323,1,1,cluster3
107,23e127cd49d138979906c24d01ae28a3,1498,1,0,1,?,12,1,0,1,0.081145,0,0.081145,0,0,2.696306,731,1971,1,676,1,1,cluster3
108,24b4146e5d7835ad97cbbce2bdd5507a,89,?,0,2,?,18,1,44,0,?,?,?,?,?,1.25,16,20,1,3987,?,?,cluster6
109,254cb5d63d243dfdbba52bb5c76e64a3,529,?,0,0,?,19,1,0,3,?,?,?,?,?,3.898305,59,230,1,113,?,?,cluster6
110,2562210d55d839d8947918303e926274,429,1,0,1,?,7,1,2,1,0.426704,0,0.426704,1,90,11.5,22,253,1,1116,1,1,cluster1
111,25be20c843c1307bad655292eeb09bdc,36,?,0,0,?,8,1,5,0,?,?,?,?,?,1.25,44,55,1,215,?,?,cluster6
112,265647c89cfc3ba983bdcd9cf19769f2,760,?,0,0,?,9,1,124,0,?,?,?,?,?,0.904181,574,519,1,94975,?,?,cluster6
113,266c3da891df3c078d0a61fb2f4e6db2,92,?,0,2,93.55,15.5,2,124,0,?,?,?,?,?,2.105263,19,40,2,11475,?,?,cluster6
114,26b0f01921673841bd4f0e8be8730ef0,514,1,0,1,?,7,1,2,1,0.252852,0,0.252852,1,90,18.636364,55,1025,1,1344,1,1,cluster1
115,26db28f333623b07b5fa33292ff0a279,11,1,0,1,?,10,1,1,1,0,0,0,0,0,21.6,5,108,1,13,1,1,cluster3
116,26f8d3f9c24e3000be09bc0b81dcbea0,52,?,0,2,14008.65,18.6,1.666667,188,0,0,0.000001,0.000002,0,0,0,28,0,5,9812,4,4,cluster4
117,2726868de7093dd7bbd54d32631c26cc,230,?,0,0.25,-0.477778,20.25,4,14,1,?,?,?,?,?,0.52093,215,112,4,3319,?,?,cluster6
118,273200c8e9953bd48498eb6b42a23f67,83,?,0,0,?,4,1,104,1,0,0,0,0,0,2.368467,1148,2719,1,8642,1,1,cluster2
119,274f1da1f4bf30ab91883619d09eaae3,1584,?,0,0,-0.283333,23.5,2,4,1,?,?,?,?,?,2.516746,418,1052,2,7471,?,?,cluster6
120,275b28854e8c3131ac1d1591e4c7d99a,1816,?,0,0,?,24,1,2,1,?,?,?,?,?,2.731818,220,601,1,4382,?,?,cluster6
121,27dd1b6fd86139ea95c85ce32f06c3f4,11,?,0,1,?,10,1,3,1,0.003883,0,0.003883,1,191,0,0,0,1,40,1,1,cluster0
122,28061381b467375da33c340a72a936b4,2576,?,0,2,?,15,1,7,1,?,?,?,?,?,1.101222,1719,1893,1,19294,?,?,cluster6
123,282114523a2630918b742e44bd91f611,11,?,0,1,?,10,1,10,1,0.001219,0,0.001219,0,0,74.75,4,299,1,120,1,1,cluster3
124,284a4ef901d639128003a2a4a3d01f77,1692,?,0,0,?,0,1,168,0,?,?,?,?,?,0.615215,3628,2232,1,285156,?,?,cluster6
125,28f42e081816344c85790d1e06578150,17,1,0,1,-2.8,12.5,2,12,1,0.005471,0.001556,0.010941,0,0,0,3,0,2,219,2,2,cluster3
126,2931107e92383dcaaf72a52d866b7a0d,141,?,0,2,9277.288889,19.714286,2.333333,1525,0,0,0,0,0,0,0,210,0,7,215054,6,6,cluster4
127,2a5bc5310cc03ad9b043070bcfa4b117,1577,?,0,0,?,17,1,41,1,0.00037,0,0.00037,0,0,1.76697,2416,4269,1,65157,1,1,cluster2
128,2a6f33cd5d933704a36865525fd74dec,19,1,0,1,103.333333,12.5,2,1,1,0.005101,0.001926,0.010202,0,0,0,3,0,2,36,2,2,cluster3
129,2a7de2cad4ea31b3b96b60e74a5f1f6e,2020,?,0,0,?,0,1,76,0,?,?,?,?,?,0.010905,917,10,1,154451,?,?,cluster6
130,2aa68814d35f353ea0f065a7e59d67f6,1792,?,0,0,1.272222,24.75,4,15,1,?,?,?,?,?,0.472751,3101,1466,4,27871,?,?,cluster6
131,2b23dc81b804393e900d8fac64bae7a4,11,1,0,1,?,10,1,2,1,0,0,0,0,0,0,0,0,1,29,1,1,cluster3
132,2bbfe1860c7b31a3ab78780f5bedffd0,89,?,0,1.913043,-1.993182,17.086957,23,116,0,?,?,?,?,?,1.25,16,20,23,10348,?,?,cluster4
133,2c693b3233b031d8b0bd4c7bacd71569,128,?,0,2,?,19,1,177,0,?,?,?,?,?,0.709091,55,39,1,22737,?,?,cluster6
134,2c8f906d21e4369fafb0c379d5ef939c,19,1,0,1,149.366667,12.5,1,1,1,0.004132,0.002895,0.008264,0,0,0,6,0,2,32,2,2,cluster3
135,2d39365458ba3fefab03b0b6071964f7,1942,?,0,3,200.065152,12.333333,4,30,0,0,0.000001,0.000002,0,0,0.92628,58437,54129,12,59282,12,12,cluster5
136,2d44f15a22623caeb6be7501da4ca23c,1013,?,0,1,?,25,1,202,0,?,?,?,?,?,1.175075,2319,2725,1,205254,?,?,cluster6
137,2dd2b1a9dee731e494adff126a63ecf2,875,1,0,1,?,7,1,1,1,0.025,0,0.025,0,0,9.708333,24,233,1,1173,1,1,cluster3
138,2e2f451db76e3073882d72445fa6e346,488,?,0,2,54271.383333,15.5,1,226,0,0,0,0,0,0,0.373832,107,40,2,110399,1,1,cluster4
139,2ecae08c4e433791895d260d7bce8aca,2796,?,0,2,?,16,1,10,0,0,0,0,0,0,0.003487,579929,2022,1,28026,1,1,cluster2
140,2f21f36a86913161813160308a6947b1,424,?,0,0,?,24,1,21,1,?,?,?,?,?,0.02791,21462,599,1,8962,?,?,cluster6
141,2f5cbb56702c3dbf89f53a456cf0c783,11,1,0,1,?,10,1,1,1,0,0,0,0,0,81,1,81,1,16,1,1,cluster3
142,2f79c6d158653f9b918be74fa09651f4,1665,?,0,1,?,14,1,3,0,?,?,?,?,?,0.67234,235,158,1,5591,?,?,cluster6
143,2fa02cc087b13871ba537f95a990ee0d,935,1,0,1,?,7,1,2,1,0.166763,0,0.166763,1,90,5.56213,169,940,1,1880,1,1,cluster1
144,2facc688ce65387d92617e1fe4dde9be,12,?,0,1,?,11,1,6,1,0.000109,0,0.000109,0,0,76.5,4,306,1,79,1,1,cluster3
145,2fe297bf3458333786f48fc5039f15ff,1904,?,0,0,?,27,1,9,0,?,?,?,?,?,0.467153,548,256,1,17519,?,?,cluster6
146,2fe91b04f4a73122afceb0e45e736915,2119,?,0,0,?,28,1,6,1,?,?,?,?,?,1.940239,251,487,1,12914,?,?,cluster6
147,300b6b2bc0213e48a53b94be2c88eae6,118,?,0,0,?,1,1,20,0,0,0,0,0,0,2.043973,1319,2696,1,2447,1,1,cluster2
148,302b857da10e3362af76a7368150a2d9,2532,?,0,0,?,26,1,0,1,?,?,?,?,?,7.742857,35,271,1,284,?,?,cluster6
149,303d5dd5da3a35d191f442f1a025b394,1668,?,0,0,?,28,1,0,1,?,?,?,?,?,4.866667,15,73,1,1459,?,?,cluster6
150,307252f71ba63878a5d8db198f4af46f,17,1,0,1,-14.966667,12.5,2,4,1,0.013375,0.006348,0.02675,1,191,156.5,2,313,2,84,2,2,cluster0
151,30a9cc698aa433ae985b9bc3156cb965,839,1,0,1,?,7,1,2,1,0.025,0,0.025,0,0,4.783439,157,751,1,2038,1,1,cluster3
152,31202bff2e7b36e0b2a731778bde541d,1826,?,0,0,?,0,1,62,0,0,0,0,0,0,0.504335,262409,132342,1,113448,1,1,cluster2
153,320b650fc96e307b9723c1d6daf71143,17,1,0,1,-13.833333,12.5,2,7,1,0.005471,0.001556,0.010941,0,0,0,7,0,2,125,2,2,cluster3
154,3210f5dbbddf3f648464ae59ea4a3126,416,1,0,1,?,7,1,2,1,0.025,0,0.025,0,0,11.076923,52,576,1,1063,1,1,cluster3
155,326b458beec13b0292210126589377c4,2635,?,0,2,?,13,1,3,0,?,?,?,?,?,0.049391,28062,1386,1,8021,?,?,cluster6
156,327079622174320a9f3ae416495e0fab,367,1,0,1,?,7,1,4,1,0.025,0,0.025,0,0,7.931034,29,230,1,1545,1,1,cluster3
157,33580d0d974d340ba33c1247545b6c37,19,1,0,1,143.583333,12.5,1,2,1,0.004132,0.002895,0.008264,0,0,311,1,311,2,38,2,2,cluster3
158,33ff8f32ec793986b160074323d3effb,61,?,0,2,?,14,1,43,0,?,?,?,?,?,6.666667,3,20,1,2649,?,?,cluster6
159,348f67a93272343ebd1ff1c9d0a2cab3,2279,?,0,1,?,24,1,1,2,?,?,?,?,?,0.263753,7780,2052,1,3689,?,?,cluster6
160,34c84fb3ea7f3a64bd0dab769f14e1db,17,1,0,1,-8.166667,12.5,2,5,1,0.013375,0.006348,0.02675,1,191,160.5,2,321,2,98,2,2,cluster0
161,34cc82af34683c1e97c13ae8a6b4e323,2833,?,0,0,?,21,1,76,1,?,?,?,?,?,0.077681,20288,1576,1,216456,?,?,cluster6
162,34d3bd17ce363ca2b2d6b3d8a078d3ff,736,?,0,1,?,8,1,10,1,?,?,?,?,?,5.888889,117,689,1,7883,?,?,cluster6
163,35376ff6ff8f3429875ed891278f43aa,11,?,0,1,?,10,1,9,1,0.001219,0,0.001219,0,0,60.4,5,302,1,104,1,1,cluster3
164,3541b42e97bb313b81dfe11ed3dd1264,1580,?,0,1,?,21,1,66,1,0,0,0,0,0,0.172134,13321,2293,1,105281,1,1,cluster2
165,35841be275a83252baa7a915c833e402,2644,?,0,0,?,3,1,20,0,?,?,?,?,?,0.002085,118957,248,1,55440,?,?,cluster2
166,35d926e85e853ef5aec6aa136e6c53ee,860,1,0,1,?,7,1,1,1,0.025,0,0.025,0,0,7.666667,36,276,1,1157,1,1,cluster3
167,361609c214213626bee659e385e450b5,757,1,0,1,?,7,1,1,1,0.025,0,0.025,0,0,6.28,25,157,1,1050,1,1,cluster3
168,36dbd8e6bd3038ef91eaffb7bc0bb108,994,?,0,1,0.05,15,2,7,2,?,?,?,?,?,2.375,352,836,2,7740,?,?,cluster6
169,36f7940b0c6c37ab9433dd93147aee5e,2216,?,0,1,?,24,1,2,2,?,?,?,?,?,2.763441,186,514,1,5460,?,?,cluster6
170,374b91073f323841b2b8c9e3f20c464c,889,?,0,0,?,14,1,129,0,?,?,?,?,?,1.536789,598,919,1,115411,?,?,cluster6
171,375fff1dc2cb3092a7e654daefdeaa8a,1646,?,0,0,?,15,1,2,0,?,?,?,?,?,0.932039,103,96,1,3729,?,?,cluster6
172,37876146e16d3d5da6776a09adc43a18,111,?,0,2,?,16,1,109,0,?,?,?,?,?,1.025641,39,40,1,12146,?,?,cluster6
173,37e0df45b746342c9c7d80a49e565354,1269,?,0,0,39.8,1.5,2,67,0,0.007813,0.007813,0.015625,0,0,0.745808,62028,46261,2,85105,2,2,cluster5
174,37e56e6e85eb309e9100b9dc8c4f42e1,12,?,0,1,13.016667,12.5,2,9,1,0.031538,0.011482,0.063076,2,195,57.2,5,286,2,116,2,2,cluster0
175,38158e1810533fbeac9755655779a039,1242,?,0,1,?,24,1,0,2,?,?,?,?,?,1.238095,42,52,1,783,?,?,cluster6
176,381b0b6da0b133ccaa709f075317d7be,11,?,0,1,?,10,1,5,1,0.000761,0,0.000761,0,0,65.4,5,327,1,61,1,1,cluster3
177,3892629bc0583129b1ed40ff24d0ed62,1045,1,0,1,?,7,1,0,1,0.025,0,0.025,0,0,8.852941,34,301,1,1020,1,1,cluster3
178,38babc9f7c433b8982076a9113ea925c,1692,?,0,0,?,0,1,217,0,?,?,?,?,?,0.48127,3684,1773,1,368578,?,?,cluster6
179,390c56d33c98300cb1fb4cb6777a874a,1030,?,0,1,?,13,1,3,1,0,0,0,0,0,1.989267,559,1112,1,4087,1,1,cluster3
180,393b1974a8b23f3080ba4926dc4dbd83,1880,?,0,2,?,15,1,0,1,?,?,?,?,?,4.606061,33,152,1,152,?,?,cluster6
181,393ec7088bfd30148044b97045a72569,474,1,0,1,?,7,1,3,1,0.166763,0,0.166763,1,90,29.64,25,741,1,1593,1,1,cluster1
182,3968ad09d02230bbaedce1dfe1f1e64d,751,1,0,1,?,7,1,1,1,0.252852,0,0.252852,1,90,12.263158,19,233,1,1118,1,1,cluster1
183,39e75ad0582c3fea9b66c43d57639fde,2089,?,0,0,?,25,1,0,0,?,?,?,?,?,3,23,69,1,815,?,?,cluster6
184,39e95628e00d3fba812f17b9a9d0b4c9,2770,?,0,2,?,15,1,0,1,?,?,?,?,?,0.561728,162,91,1,448,?,?,cluster6
185,3ab760c5035a38c08bfbc851b8157bb7,830,1,0,1,?,7,1,1,1,0.252852,0,0.252852,1,90,9.6,20,192,1,1151,1,1,cluster1
186,3b44036292a93aed96038bebe4b01e18,473,?,0,1,0.05,15,2,8,2,?,?,?,?,?,2.5,226,565,2,4150,?,?,cluster6
187,3b96d41418363bfaa380717f33c3d25f,12,1,0,1,16.8,12.5,2,2,1,0.013375,0.006348,0.02675,1,191,107,1,107,2,26,2,2,cluster0
188,3bae28f618d734ae98b5bd957675f346,17,1,0,1,-9.983333,12.5,2,6,1,0.005471,0.001556,0.010941,0,0,28.181818,11,310,2,107,2,2,cluster3
189,3c2c62b2efe43c1ea93c5bf53520a8ed,12,1,0,1,19.083333,12.5,2,5,1,0.013375,0.006348,0.02675,1,191,21.8,5,109,2,65,2,2,cluster0
190,3c4935f460803bc3bb1e3b92a118b373,20,1,0,1,5.333333,12.5,2,6,1,0.005471,0.001556,0.010941,0,0,17.52381,21,368,2,124,2,2,cluster3
191,3c4c47afcfb83eea9362d89d987bfb7d,47,1,0,1,?,12,1,1,1,0.081145,0,0.081145,0,0,0.491285,918,451,1,77,1,1,cluster3
192,3d48f9fef64e3bbb8c730ea9f89db3e9,1344,?,0,1,?,13,1,21,1,?,?,?,?,?,0.726613,1240,901,1,28846,?,?,cluster6
193,3d73fda12a4c3922be74693d40681c7f,2340,?,0,0,?,29,1,1,2,?,?,?,?,?,2.357377,305,719,1,2400,?,?,cluster6
194,3e73262ae3f83a5ab1a5cff01925fea7,833,1,0,1,?,7,1,1,1,0.166763,0,0.166763,1,90,26.647059,34,906,1,1288,1,1,cluster1
195,3e779f212ef63951b83ede1f7bb3846d,1369,?,0,0,?,24,1,1,1,?,?,?,?,?,0.954797,1084,1035,1,1468,?,?,cluster6
196,3f240bd4515f3ff4b0c836d4b5a9b52c,74,?,0,2,?,19,1,705,1,?,?,?,?,?,0.073593,462,34,1,52194,?,?,cluster6
197,3ff5a6542d9f32cd9809f7f4c1512ece,193,?,0,1.5,0.033333,22,2,802,1,0,0,0,0,0,0.033582,2412,81,2,154927,2,2,cluster4
198,4032d78e69fa37a18d114fdc92c88167,1812,?,0,0,?,9,1,3,0,?,?,?,?,?,1.478659,328,485,1,5532,?,?,cluster6
199,42ff4ab62c07368ca15cd92fc6434b00,99,?,0,1,55580.3,6,1,128,0,0.000001,0,0.000001,0,0,5.441573,890,4843,2,12724,1,1,cluster4
200,4317a933838d390aa3f9a62da081186a,11,1,0,1,?,10,1,2,1,0,0,0,0,0,20,5,100,1,31,1,1,cluster3
201,439e2f1b44753e6b95f363e9ec6be803,763,1,0,1,?,12,1,0,1,0.02152,0,0.02152,0,0,0.313253,83,26,1,183,1,1,cluster3
202,440b4fb5b7dd36a194c82de590c7352f,1675,?,0,0,?,11,1,3,0,?,?,?,?,?,1.751256,398,697,1,5371,?,?,cluster6
203,4424881e6bd83ff3bc4e5b9875235f23,229,?,0,2,?,17,1,1346,0,?,?,?,?,?,0,371,0,1,308308,?,?,cluster4
204,4452150b01693ed39814c8e4ac2bf379,106,?,0,0,?,0,1,1157,0,?,?,?,?,?,0,339,0,1,122702,?,?,cluster5
205,44799a6465f339d68ac07adac27ee774,281,?,0,2,?,15,1,4,1,?,?,?,?,?,5.6,25,140,1,1223,?,?,cluster6
206,452d6e320aaa3c50b5146c0e115b100f,795,1,0,1,?,7,1,1,1,0.252852,0,0.252852,1,90,7.8,25,195,1,1067,1,1,cluster1
207,45987c2a58783fe4bad154c41b5ddd4c,11,1,0,1,?,10,1,1,1,0,0,0,0,0,17.6,5,88,1,15,1,1,cluster3
208,45b77b3c34eb3afbb28034e89a61ae77,53,?,0,1,?,14,1,233,0,?,?,?,?,?,0.277778,54,15,1,12374,?,?,cluster6
209,46167b51ddf0347dba487fbd58813e92,2132,?,0,1,?,18,1,13,1,0,0,0,0,0,4.596452,451,2073,1,29216,1,1,cluster2
210,47dc6b77211b3ffe92beefea0dc15766,12,?,0,1,?,11,1,3,1,0.000221,0,0.000221,0,0,0,0,1,1,38,1,1,cluster3
211,48279fe4866e3f728604810722a7a257,216,?,0,2,51753.183333,19,1,1221,0,0,0,0,0,0,0,302,0,2,263797,1,1,cluster4
212,491fbd4ae71f34d281a5342100105c57,19,1,0,1,7.433333,12.5,2,4,1,0.005471,0.001556,0.010941,0,0,0,5,0,2,87,2,2,cluster3
213,49e4a68a268235c89035beb77d27cd64,1568,?,0,0,?,0,1,22,0,0.0025,0,0.0025,0,0,0.925298,134387,124348,1,34671,1,1,cluster5
214,4a044b61e0c0327aab94e14a2ff0137f,96,?,0,2,?,15,1,112,0,?,?,?,?,?,1.25,16,20,1,10806,?,?,cluster6
215,4a85143b750b38dfa9bd953bd45a4c92,2547,?,0,2,?,15,1,5,1,?,?,?,?,?,4.22862,1181,4994,1,12857,?,?,cluster6
