@RELATION bad_actors 
 @ATTRIBUTE author_guid string 
 @ATTRIBUTE account_age numeric 
 @ATTRIBUTE author_type numeric 
 @ATTRIBUTE average_hashtags numeric 
 @ATTRIBUTE average_links numeric 
 @ATTRIBUTE average_minutes_between_posts numeric 
 @ATTRIBUTE average_post_lenth numeric 
 @ATTRIBUTE average_posts_per_day_active_days numeric 
 @ATTRIBUTE average_posts_per_day_total numeric 
 @ATTRIBUTE average_user_mentions numeric 
 @ATTRIBUTE boost_score_avg numeric 
 @ATTRIBUTE boost_score_std_dev numeric 
 @ATTRIBUTE boost_score_sum numeric 
 @ATTRIBUTE boosting_timeslots_count numeric 
 @ATTRIBUTE count_authors_sharing_boosted_posts numeric 
 @ATTRIBUTE friends_followers_ratio numeric 
 @ATTRIBUTE number_followers numeric 
 @ATTRIBUTE number_friends numeric 
 @ATTRIBUTE number_of_crawled_posts numeric 
 @ATTRIBUTE number_of_posts numeric 
 @ATTRIBUTE number_pointed_posts numeric 
 @ATTRIBUTE number_pointers numeric 
  @DATA 
 0b6235b52019361ea45bdc3c08a81730, 19.0, 1.0, 0.0, 1.0, 93.3, 12.5, 2.0, 5.0, 1.0, 0.013541086039198263, 0.006514458820263352, 0.027082172078396527, 1.0, 191.0, 47.714285714285715, 7.0, 334.0, 2.0, 99.0, 2.0, 2.0 
 0bbbd889c8dc3295b324a08ceae456ae, 120.0, ?, 0.0, 2.0, ?, 14.0, 1.0, 866.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1224.0, 0.0, 1.0, 103978.0, 1.0, 1.0 
 0bd2992279f63175b8ee580b887cae13, 624.0, 1.0, 0.0, 1.0, ?, 12.0, 1.0, 1.0, 1.0, 0.0002680211202938476, 0.0, 0.0002680211202938476, 0.0, 0.0, 0.40342227378190254, 3448.0, 1391.0, 1.0, 1026.0, 1.0, 1.0 
 0beac682e6203c1fa6e70422605fb09f, 11.0, 1.0, 0.0, 1.0, ?, 10.0, 1.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 19.6, 5.0, 98.0, 1.0, 30.0, 1.0, 1.0 
 0c10e115b4903b49a3da11f681a4e56a, 239.0, ?, 0.0, 1.6666666666666667, 10752.646666666667, 17.166666666666668, 2.0, 1600.0, 0.0, 2.3043939566241744e-06, 2.496949487244532e-06, 6.913181869872523e-06, 0.0, 0.0, 0.0, 344.0, 0.0, 6.0, 382528.0, 3.0, 5.0 
 0c2927ffee683926ae8861a456c9864b, 12.0, 1.0, 0.0, 1.0, 17.1, 12.5, 2.0, 6.0, 1.0, 0.013374851129307946, 0.006348223910373034, 0.026749702258615893, 1.0, 191.0, 196.0, 1.0, 196.0, 2.0, 81.0, 2.0, 2.0 
 0d1666eda4d6312da090b3f60f3563b6, 12.0, ?, 0.0, 1.0, ?, 10.0, 1.0, 10.0, 1.0, 0.0012376268951815803, 0.0, 0.0012376268951815803, 0.0, 0.0, 104.0, 3.0, 312.0, 1.0, 126.0, 1.0, 1.0 
 0d451f66a5af36e4b399fd6e944fd91c, 3243.0, ?, 0.0, 1.25, 7673.540476190467, 17.625, 2.6666666666666665, 19.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 779.0, 0.0, 8.0, 62084.0, 9.0, 7.0 
 0db2b25a46203c589db61818cb3bac49, 1199.0, ?, 0.0, 2.0, ?, 14.0, 1.0, 11.0, 0.0, ?, ?, ?, ?, ?, 1.0906095551894563, 607.0, 662.0, 1.0, 13202.0, ?, ? 
 0dd336a330fd364789987f630b87883f, 531.0, ?, 0.0, 1.0, ?, 13.0, 1.0, 17.0, 0.0, ?, ?, ?, ?, ?, 0.19911504424778761, 226.0, 45.0, 1.0, 9277.0, ?, ? 
 0dddb15f34a43fc7873195da06270508, 2429.0, ?, 0.0, 1.0, ?, 20.0, 1.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.600334448160535, 1196.0, 1914.0, 1.0, 7669.0, 1.0, 1.0 
 0e7cc9848c8332f5ae0354acd45833c9, 378.0, 1.0, 0.0, 1.0, ?, 7.0, 1.0, 3.0, 1.0, 0.1667631172839506, 0.0, 0.1667631172839506, 1.0, 90.0, 25.5, 24.0, 612.0, 1.0, 1174.0, 1.0, 1.0 
 0e9b43f6024939c48710647ed6b2f87b, 402.0, 1.0, 0.0, 1.0, ?, 7.0, 1.0, 3.0, 1.0, 0.025, 0.0, 0.025, 0.0, 0.0, 18.733333333333334, 30.0, 562.0, 1.0, 1364.0, 1.0, 1.0 
 0eab9a92b04e341fa91914f0f63b7b07, 509.0, ?, 0.0, 0.0, ?, 6.0, 1.0, 36.0, 0.0, ?, ?, ?, ?, ?, 0.6517857142857143, 336.0, 219.0, 1.0, 18662.0, ?, ? 
 0eb68672f9a53ff98e56f518b57b31fa, 374.0, 1.0, 0.0, 1.0, ?, 7.0, 1.0, 3.0, 1.0, 0.1667631172839506, 0.0, 0.1667631172839506, 1.0, 90.0, 9.258064516129032, 31.0, 287.0, 1.0, 1445.0, 1.0, 1.0 
 0ee9b06ddb833baea14735b22933a88b, 20.0, 1.0, 0.0, 1.0, 0.2833333333333333, 12.5, 2.0, 6.0, 1.0, 0.005470543579894689, 0.001556083639040222, 0.010941087159789378, 0.0, 0.0, 0.0, 3.0, 0.0, 2.0, 131.0, 2.0, 2.0 
 0fe59ce40ed9347c879014af9f9cfaac, 559.0, ?, 0.0, 0.0, ?, 7.0, 1.0, 16.0, 0.0, ?, ?, ?, ?, ?, 0.6029411764705882, 476.0, 287.0, 1.0, 9247.0, ?, ? 
 100183eb27c534e18e64afce2835a3f3, 1518.0, ?, 0.0, 0.0, 0.11666666666666667, 24.0, 2.0, 3.0, 1.0, ?, ?, ?, ?, ?, 2.638483965014577, 343.0, 905.0, 2.0, 5137.0, ?, ? 
 1027a90b7a15364e820bfbaac02db500, 2589.0, ?, 0.0, 0.0, ?, 1.0, 1.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07050189042923864, 13489.0, 951.0, 1.0, 16460.0, 1.0, 1.0 
 10aabc5b84bf34eab148355c1f6fc85f, 175.0, ?, 0.0, 2.0, 26216.5, 15.666666666666666, 1.5, 197.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7692307692307693, 52.0, 40.0, 3.0, 34528.0, 2.0, 2.0 
 11b50f3303ef3bb298e03c52a3f0e567, 18.0, 1.0, 0.0, 1.0, ?, 10.0, 1.0, 4.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 112.66666666666667, 3.0, 338.0, 1.0, 73.0, 1.0, 1.0 
 1227a24136c835aab5d005c61dbfc491, 595.0, ?, 0.0, 0.0, ?, 8.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5121951219512195, 41.0, 62.0, 1.0, 89.0, 1.0, 1.0 
 122ef0221da4332688be054488a25aeb, 1270.0, ?, 0.0, 0.0, ?, 3.0, 1.0, 42.0, 1.0, ?, ?, ?, ?, ?, 0.8824214202561118, 859.0, 758.0, 1.0, 54405.0, ?, ? 
 12346a2a9666387d9b5bf1794fdbcdc1, 19.0, 1.0, 0.0, 1.0, 15.983333333333336, 12.5, 2.0, 7.0, 1.0, 0.005470543579894689, 0.001556083639040222, 0.010941087159789378, 0.0, 0.0, 34.111111111111114, 9.0, 307.0, 2.0, 135.0, 2.0, 2.0 
 1241884ae2143c8eae720ff52773eb0f, 571.0, ?, 0.0, 0.0, ?, 0.0, 1.0, 26.0, 0.0, ?, ?, ?, ?, ?, 0.4521354933726068, 679.0, 307.0, 1.0, 15006.0, ?, ? 
 1243f923cf5d32b081d82f0aee8a2f3d, 265.0, ?, 0.0, 2.0, ?, 16.0, 1.0, 78.0, 0.0, ?, ?, ?, ?, ?, 0.2850678733031674, 221.0, 63.0, 1.0, 20917.0, ?, ? 
 126a7568836d3b599840935287c93cea, 11.0, 1.0, 0.0, 1.0, ?, 10.0, 1.0, 3.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 80.0, 1.0, 34.0, 1.0, 1.0 
 12b83043db51374283e67c9e8b75cb20, 93.0, ?, 0.0, 2.0, ?, 19.0, 1.0, 84.0, 0.0, ?, ?, ?, ?, ?, 0.6896551724137931, 29.0, 20.0, 1.0, 7841.0, ?, ? 
 12d193c00fdf32ca82772bcb091a5b6f, 833.0, 1.0, 0.0, 1.0, ?, 7.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 22.473684210526315, 38.0, 854.0, 1.0, 1417.0, 1.0, 1.0 
 13a9f5bd9bb03ed2a2cc02b4725dc784, 251.0, ?, 0.0, 2.0, 101.69166666666666, 17.666666666666668, 3.0, 227.0, 0.0, ?, ?, ?, ?, ?, 0.625, 64.0, 40.0, 3.0, 57181.0, ?, ? 
 143d7e8c660b3471b2ee46bc15087bf1, 2307.0, ?, 0.0, 2.0, ?, 15.0, 1.0, 19.0, 1.0, ?, ?, ?, ?, ?, 0.03038037726452095, 16063.0, 488.0, 1.0, 44691.0, ?, ? 
 1445308024c03245929aceffd924e671, 12.0, 1.0, 0.0, 1.0, ?, 15.0, 1.0, 0.0, 1.0, 0.0070266272189349116, 0.0, 0.0070266272189349116, 0.0, 0.0, 0.0, 0.0, 5.0, 1.0, 2.0, 1.0, 1.0 
