No.,Instance_number,author_guid,account_age,author_type,average_hashtags,average_links,average_minutes_between_posts,average_post_lenth,average_posts_per_day_active_days,average_posts_per_day_total,average_user_mentions,default_profile,default_profile_image,friends_followers_ratio,number_followers,number_friends,number_of_crawled_posts,number_of_posts,Cluster,Cluster
555,6799,b9791cd0e4733d81824e3905b382ebad,327,?,0,0,?,7,1,730,1,1,0,0.367314,5660,2079,1,238927,cluster1,
556,7862,d793dd4adbb532eaa0f9a6ae12b77554,326,?,0,0.296296,2534.020513,2.777778,4.5,150,0,1,1,0,55,0,27,48969,cluster1,
557,7347,c8a53f324bd530c9913a5a5998a17d1e,324,?,0,1.5,2799.533333,13.5,1,225,0,1,0,1.083834,18978,20569,2,73176,cluster1,
558,3015,52119e9597103a76a0a290f2ee5a5c94,322,?,0,1,595.786667,14,3,0,0,1,0,0,2,0,6,178,cluster1,
559,7574,cee0fd760c2e3ffbb27976eaeb2d40e5,320,?,0,1,?,23,1,356,1,0,0,0.18602,4306,801,1,113996,cluster1,
560,4423,7754f92601b8362e97b9dd5ab35b043a,319,?,0,1,?,15,1,53,1,0,0,0.599466,22465,13467,1,17008,cluster1,
561,1049,1b67c4b1af2d3c4e998ceceeea8195ad,317,?,0,1,1697.566667,23,1,4,0,1,0,0.347855,4499,1565,2,1492,cluster1,
562,9032,f91d21d05f8836fdba940ca7a5cf8b9a,313,?,0,1,6386.016667,19,1,0,1,1,0,0.005114,4302,22,2,174,cluster1,
563,7495,ccb06c17fc883bf388e19bfb18724ec5,310,?,0,1,?,16,1,23,0,0,0,0.898787,15255,13711,1,7246,cluster1,
564,7928,d96bd1b021d43ca285691617947ca4df,297,?,0,1,1154.179167,10,1.666667,178,0,0,0,0.002956,1353,4,5,52912,cluster1,
565,7655,d119618cae3f3e72af007f86efa58ec4,293,?,0,1,23.313333,14,6,0,0,1,0,1,5,5,6,8,cluster1,
566,1606,2acf2dc2a5463c93837ea9f3ef3d448a,289,?,0,2,2081.724074,16.3,1.666667,1453,0,1,0,0.017065,586,10,10,420137,cluster1,
567,7510,cd1952786a3a3c61b82769d7d5fc9d57,288,?,0,1.875,1324.901111,18.1875,2.285714,1239,0,1,0,0.007463,536,4,16,357067,cluster1,
568,8681,ef89b2611e6b3ac29af89e90a54ee76c,288,?,0,1.9,3813.52193,18.35,2.222222,1238,0,1,0,0,411,0,20,356596,cluster1,
569,5151,8ad15c6a442c31119c68fe241391c08a,287,?,0,2,2180.29375,19.333333,1.5,1355,0,1,0,0,560,0,9,388938,cluster1,
