No.,Instance_number,author_guid,account_age,author_type,average_hashtags,average_links,average_minutes_between_posts,average_post_lenth,average_posts_per_day_active_days,average_posts_per_day_total,average_user_mentions,default_profile,default_profile_image,friends_followers_ratio,number_followers,number_friends,number_of_crawled_posts,number_of_posts,Cluster
127,7607,cfdbcb9cc9ff327aa419ee6680268563,2573,?,0,1,1878.06875,21.444444,1.8,8,1,0,0,1.392759,1823,2539,9,21551,cluster1
128,3656,634ca82d5b34332db97c658f868091da,2571,?,0,1,?,12,1,33,0,0,0,0.046272,16684,772,1,86884,cluster1
129,2349,3f11827415d03e599469881397b7ccde,2569,?,0,1,?,18,1,18,0,0,0,0.94156,9822,9248,1,47984,cluster1
130,1096,1d08f640614c3561b55914f34cb37bc3,2566,?,0,0,?,20,1,90,4,0,0,0.01563,31989,500,1,232254,cluster1
131,5538,95ead855ec733a3ab99e04d819cdd52f,2565,?,0,0,54.483333,2,2,1037,0,0,0,0.837569,2007,1681,2,2660984,cluster1
132,3764,65dc45e205d43beaae757b0b036356ae,2564,?,0,0,?,6,1,2,1,0,0,0.003051,35400,108,1,7149,cluster1
133,1718,2d9d9ef6a6b438f9aeb1ac175399ef4a,2563,?,0,0,796.816667,7.8,1.666667,2,0,0,0,0.671292,1153,774,5,5138,cluster1
134,7900,d877c55149663a1d969fcdbcfbca7fc7,2562,?,0,0.333333,6455.583333,14,1.5,30,1,0,0,3.025552,1448,4381,3,78108,cluster1
135,743,14329e018e733b90a6e52fdf8dc77b3d,2560,?,0,0.5,669.533333,12.5,2,16,0.5,0,0,0.059972,44354,2660,2,42542,cluster1
136,2225,3b3dc828683e32c0bc4959d8a25a6617,2560,?,0,0,?,1,1,0,0,0,0,0.00604,17551,106,1,2187,cluster1
137,6881,bc1fbe802fa637fb80228be22f5dc451,2559,?,0,1,?,13,1,73,0,0,0,0.028827,327890,9452,1,187806,cluster1
138,4121,6fcf1eb4acaa36f093367e9528c2bf38,2558,?,0,0.5,644.5,5,2,3,0,0,0,0.088688,6957,617,2,9631,cluster1
139,3037,52b23299ab183f5eb0333f766ca833a4,2551,?,0,1,0.016667,16.5,2,266,0,0,0,0.503488,1577,794,2,680594,cluster1
140,7894,d85e0c328c2c32329fc62fc2b3155c1f,2551,?,0,0,?,9,1,89,1,0,0,0.948657,43784,41536,1,227647,cluster1
141,4889,834ef28fa8753e1ea5658213b0b0fd18,2548,?,0,1,?,18,1,2,2,0,0,0.699782,20625,14433,1,5763,cluster1
142,8643,eeac7f5f35b73fe581aea32eb86422f2,2547,?,0,1,624.361111,23,2,170,2,1,0,1.078684,4804,5182,4,435313,cluster1
143,1065,1c27011863ac373aa1fad140874a6257,2545,?,0,1,?,23,1,70,2,0,0,0.041104,19487,801,1,179148,cluster1
144,1723,2dd218087bff399aa05c8437807cd4a8,2545,?,0,1,?,23,1,49,3,0,0,1.098969,6598,7251,1,126135,cluster1
145,9016,f8bde3b91a533b509efbe7d48b524963,2545,?,0,1,?,14,1,3,0,0,0,0.125144,14743,1845,1,8167,cluster1
146,2909,4f30aa0efbf53be0a18bc008c9c5764f,2537,?,0,1,1080.788462,14,4.666667,0,0,0,0,2.071429,112,232,14,845,cluster1
147,5363,90eacc9aaa603b69bec9c5270a49bc6a,2536,?,0,0,?,15,1,185,1,0,0,0.08109,102392,8303,1,471318,cluster1
148,2190,3a04b31968ea31369f44ba309aa1f0dd,2534,?,0,0.666667,2466.1,18.666667,1.5,204,1,1,0,1.779887,2476,4407,3,518548,cluster1
149,3046,52e1cf85ba20341bac3f51849753f640,2532,?,0,1,?,15,1,453,1,0,0,0.133051,151972,20220,1,1149334,cluster1
150,7011,bf760fc87b2f332386b0105ddf53ea77,2532,?,0,0,?,22,1,547,1,0,0,0.082189,189928,15610,1,1385465,cluster1
151,2485,43382481067f37389de209e244952657,2529,?,0,1,?,14,1,7,0,0,0,0.001961,99457,195,1,18329,cluster1
152,4002,6c69a930db7532c59c5b0fdd70ea7c2d,2528,?,0,1,?,14,1,25,0,0,0,0.03445,17968,619,1,64208,cluster1
153,2594,4625431ac52538c9961815a21627b6c8,2525,?,0,1,118.777778,15.5,4,4,0,0,0,0.040093,1297,52,4,11966,cluster1
154,2653,47d5ae9b4aab32d8ab17941b7e83f1ef,2523,?,0,1,?,25,1,121,0,0,0,1.171151,1747,2046,1,305297,cluster1
155,3360,5bd5d9590ae63eddad861395accb863b,2521,?,0,2,0.083333,16,3,43,1,0,0,0.255615,1870,478,3,108751,cluster1
156,8381,e703cd409dd737918759e6708157cde3,2521,?,0,0,?,5,1,118,1,0,0,1.499042,2088,3130,1,298195,cluster1
157,4150,7096d75cd5273ce4b956c3364d6bf626,2517,?,0,1,3242.886667,11.833333,1.2,4,0,0,0,1.244444,180,224,6,12312,cluster1
158,6363,ae31d510df4832ab9db8b2ef6d0bafb3,2516,?,0,2,2.146154,14.357143,14,19,0,0,0,1.635965,1140,1865,14,50293,cluster1
159,8420,e8490c462d143d5c8ee71ae2e1d01395,2515,?,0,1,2278.575926,20.3,2.5,325,1,0,0,0.002225,3596,8,10,817754,cluster1
160,2077,3736927850243db78a67ec3dfb3c288a,2507,?,0,2,?,18,1,13,1,0,0,0.004628,215234,996,1,34441,cluster1
161,8493,ea2e0d1e6ee63c5b974f50b9d156ce8d,2506,?,0,2,0.058333,16,3,59,1,0,0,0.477436,2637,1259,3,149889,cluster1
162,8019,dbd27363f58b317e89c056d08ab7c5c3,2496,?,0,0,?,16,1,11,1,0,0,0.066591,15843,1055,1,27729,cluster1
163,7625,d04ce5c9716a321fbee24354f6e33aec,2491,?,0,1,?,23,1,3,0,0,0,0.057146,32058,1832,1,8771,cluster1
164,2768,4b08ae0a94f637adbf2479e911265867,2486,?,0,1,1500.288889,20,2,41,0,0,0,0.852562,2557,2180,4,102426,cluster1
165,7508,cd0cd42b57443415a3b29a92d6e55a56,2486,?,0,2,0.127778,15.75,4,24,1,0,0,1.343075,1574,2114,4,61538,cluster1
166,1953,33dd468681113bada94fc0f9da33308b,2466,?,0,1,?,18,1,11,0,1,0,0.004068,18929,77,1,28246,cluster1
167,8097,de5ebe3ae5473ecb908f9f9e8be18650,2460,?,0,0.6,4736.883333,17.2,1.666667,163,1,1,0,1.314736,3047,4006,5,401147,cluster1
168,2407,40b3d40a4b383ef4960c89e0eb27cc90,2454,?,0,1,452.981852,16.217391,4.181818,234,0,0,0,0,3600,0,46,575177,cluster1
