post_id,author,guid,title,url,date,content,domain,author_guid
4f59ab22-a26c-3278-98cc-c802923c724d,linda_hoepos,4f59ab22-a26c-3278-98cc-c802923c724d,RT @annakiril3: Smart TV vs. Media Streamerhttps://t.co/axBC7SlhsE,http://twitter.com/linda_hoepos/statuses/745932563705888774,2016-06-23 10:52:36,RT @annakiril3: <em>Smart</em> <em>TV</em> vs. Media Streamerhttps://t.co/axBC7SlhsE,Microblog,f1c8a7820aa5392ca8ef43fba6df0c9b
da3ffcf4-fe48-3bb7-adec-af5ee36fa642,james_cagin,da3ffcf4-fe48-3bb7-adec-af5ee36fa642,RT @annakiril3: Smart TV vs. Media Streamerhttps://t.co/axBC7SlhsE,http://twitter.com/james_cagin/statuses/745928820495126532,2016-06-23 10:37:44,RT @annakiril3: <em>Smart</em> <em>TV</em> vs. Media Streamerhttps://t.co/axBC7SlhsE,Microblog,eab5c48e4c00370ab4205a082c0c63a0
89ee38fb-c870-3dc8-b47c-0c383392528e,SoaRxjJ_,89ee38fb-c870-3dc8-b47c-0c383392528e,RT @annakiril3: Smart TV vs. Media Streamerhttps://t.co/axBC7SlhsE,http://twitter.com/SoaRxjJ_/statuses/745928113796816896,2016-06-23 10:34:55,RT @annakiril3: <em>Smart</em> <em>TV</em> vs. Media Streamerhttps://t.co/axBC7SlhsE,Microblog,c8f8f448a4783ebd88da65b4a0aeb18d
d4e4e12e-a463-366d-9d48-6da95b6fd469,Globalxrw,d4e4e12e-a463-366d-9d48-6da95b6fd469,RT @annakiril3: Smart TV vs. Media Streamerhttps://t.co/axBC7SlhsE,http://twitter.com/Globalxrw/statuses/745926463329865728,2016-06-23 10:28:22,RT @annakiril3: <em>Smart</em> <em>TV</em> vs. Media Streamerhttps://t.co/axBC7SlhsE,Microblog,c8e0c8ae3d8b3ca2b0372473d26feb01
e68b054d-bb8d-31e7-ae6d-8a91d9603e0c,Megzaiamn,e68b054d-bb8d-31e7-ae6d-8a91d9603e0c,RT @annakiril3: Smart TV vs. Media Streamerhttps://t.co/axBC7SlhsE,http://twitter.com/Megzaiamn/statuses/745925204111679488,2016-06-23 10:23:21,RT @annakiril3: <em>Smart</em> <em>TV</em> vs. Media Streamerhttps://t.co/axBC7SlhsE,Microblog,8531f30bdb6d3bce98613f025209fda1
e544788b-c2fa-3bc8-aaff-539f3c30f1a0,eWbReddy,e544788b-c2fa-3bc8-aaff-539f3c30f1a0,RT @annakiril3: Smart TV vs. Media Streamerhttps://t.co/axBC7SlhsE,http://twitter.com/eWbReddy/statuses/745923845966692352,2016-06-23 10:17:58,RT @annakiril3: <em>Smart</em> <em>TV</em> vs. Media Streamerhttps://t.co/axBC7SlhsE,Microblog,8d364751d4303531a88d5345a35aee4e
54896a38-c62c-31c7-b168-9176d3a80348,marniekeysamsi,54896a38-c62c-31c7-b168-9176d3a80348,RT @annakiril3: Smart TV vs. Media Streamerhttps://t.co/axBC7SlhsE,http://twitter.com/marniekeysamsi/statuses/745927775102590979,2016-06-23 10:33:34,RT @annakiril3: <em>Smart</em> <em>TV</em> vs. Media Streamerhttps://t.co/axBC7SlhsE,Microblog,a727d334d6d738f5b101e58c906d281c
b2813a2d-fdf6-3b23-b372-191e4f370e67,aHilTheYttie,b2813a2d-fdf6-3b23-b372-191e4f370e67,RT @annakiril3: Smart TV vs. Media Streamerhttps://t.co/axBC7SlhsE,http://twitter.com/aHilTheYttie/statuses/745927328438554630,2016-06-23 10:31:48,RT @annakiril3: <em>Smart</em> <em>TV</em> vs. Media Streamerhttps://t.co/axBC7SlhsE,Microblog,f8218f3a5f913067b743fe43e66ddd48
5ece3c48-274f-39de-afe2-701ff7b8e363,xdHaaD,5ece3c48-274f-39de-afe2-701ff7b8e363,RT @annakiril3: Smart TV vs. Media Streamerhttps://t.co/axBC7SlhsE,http://twitter.com/xdHaaD/statuses/745932377306832896,2016-06-23 10:51:52,RT @annakiril3: <em>Smart</em> <em>TV</em> vs. Media Streamerhttps://t.co/axBC7SlhsE,Microblog,c47d1c91c4e83bc7bebb5bcb28c09628
8f34c6c2-9586-3300-bdba-90a15270b96f,sewstrangpbne,8f34c6c2-9586-3300-bdba-90a15270b96f,RT @annakiril3: Smart TV vs. Media Streamerhttps://t.co/axBC7SlhsE,http://twitter.com/sewstrangpbne/statuses/745929919679565824,2016-06-23 10:42:06,RT @annakiril3: <em>Smart</em> <em>TV</em> vs. Media Streamerhttps://t.co/axBC7SlhsE,Microblog,1486df5964cd3f8d860f52166cab0827
a9606f30-b72b-3089-b85e-a418f4111924,logaadleritn,a9606f30-b72b-3089-b85e-a418f4111924,RT @annakiril3: Smart TV vs. Media Streamerhttps://t.co/axBC7SlhsE,http://twitter.com/logaadleritn/statuses/745926652853686272,2016-06-23 10:29:07,RT @annakiril3: <em>Smart</em> <em>TV</em> vs. Media Streamerhttps://t.co/axBC7SlhsE,Microblog,d75b3806e9ad3a08adc4ea0782f6fe44
d5098e61-c518-3ef8-b801-ddf12f2e5bab,afiiliat0e00,d5098e61-c518-3ef8-b801-ddf12f2e5bab,RT @annakiril3: Smart TV vs. Media Streamerhttps://t.co/axBC7SlhsE,http://twitter.com/afiiliat0e00/statuses/745926421269348352,2016-06-23 10:28:12,RT @annakiril3: <em>Smart</em> <em>TV</em> vs. Media Streamerhttps://t.co/axBC7SlhsE,Microblog,d06a9c7374793c79926feddd23140257
fea97a0d-1fb1-3269-8fda-55f720456149,facelessg_nos,fea97a0d-1fb1-3269-8fda-55f720456149,RT @annakiril3: Smart TV vs. Media Streamerhttps://t.co/axBC7SlhsE,http://twitter.com/facelessg_nos/statuses/745925704576024576,2016-06-23 10:25:21,RT @annakiril3: <em>Smart</em> <em>TV</em> vs. Media Streamerhttps://t.co/axBC7SlhsE,Microblog,452d6e320aaa3c50b5146c0e115b100f
b66d4380-e34e-3d40-80f0-add3282817b1,atfpunks1993,b66d4380-e34e-3d40-80f0-add3282817b1,RT @annakiril3: Smart TV vs. Media Streamerhttps://t.co/axBC7SlhsE,http://twitter.com/atfpunks1993/statuses/745925576670720001,2016-06-23 10:24:50,RT @annakiril3: <em>Smart</em> <em>TV</em> vs. Media Streamerhttps://t.co/axBC7SlhsE,Microblog,63c741f87a433806948088af0a708f80
ee0c2767-7f59-35e3-997a-928fb5431387,DonofrioicusM,ee0c2767-7f59-35e3-997a-928fb5431387,RT @annakiril3: Smart TV vs. Media Streamerhttps://t.co/axBC7SlhsE,http://twitter.com/DonofrioicusM/statuses/745929606721601536,2016-06-23 10:40:51,RT @annakiril3: <em>Smart</em> <em>TV</em> vs. Media Streamerhttps://t.co/axBC7SlhsE,Microblog,b047ce1c67503c849902fba0994efe25
e3e89c57-2145-36b5-a796-f7b10c66bea7,o_hawqrth,e3e89c57-2145-36b5-a796-f7b10c66bea7,RT @annakiril3: Smart TV vs. Media Streamerhttps://t.co/axBC7SlhsE,http://twitter.com/o_hawqrth/statuses/745926339711082496,2016-06-23 10:27:52,RT @annakiril3: <em>Smart</em> <em>TV</em> vs. Media Streamerhttps://t.co/axBC7SlhsE,Microblog,da1d9ec333813f7d9d1cc667b73052a4
7af8a5c2-3978-33fb-befb-cb0c3b2d7d99,DustinMocdy,7af8a5c2-3978-33fb-befb-cb0c3b2d7d99,RT @annakiril3: Smart TV vs. Media Streamerhttps://t.co/axBC7SlhsE,http://twitter.com/DustinMocdy/statuses/745930273414647809,2016-06-23 10:43:30,RT @annakiril3: <em>Smart</em> <em>TV</em> vs. Media Streamerhttps://t.co/axBC7SlhsE,Microblog,30a9cc698aa433ae985b9bc3156cb965
ec6a5e3b-4a07-3614-8478-239ed35af30e,Ericguitrtias,ec6a5e3b-4a07-3614-8478-239ed35af30e,RT @annakiril3: Smart TV vs. Media Streamerhttps://t.co/axBC7SlhsE,http://twitter.com/Ericguitrtias/statuses/745931872132292608,2016-06-23 10:49:51,RT @annakiril3: <em>Smart</em> <em>TV</em> vs. Media Streamerhttps://t.co/axBC7SlhsE,Microblog,acb9de5a408c35cf9bec7d429efc15c8
