No,Instance_number,author_guid,account_age,author_type,average_post_lenth,average_posts_per_day_total,average_user_mentions,boosting_timeslots_count,friends_followers_ratio,number_followers,number_friends,number_of_posts,number_pointers,Cluster
209,2619,780286a2f1b6337a978afad7f1b5328f,?,?,23,?,0,?,0,?,?,?,?,cluster2
210,3178,92c9ca5dba45346fb42b55749b4cfeb0,?,?,23,?,0,?,0,?,?,?,?,cluster2
211,4079,c0351e15453a30419dbe695af4eacaad,?,?,23,?,0,?,0,?,?,?,?,cluster2
212,4412,cf5a60738c1137b886052a271dfd2d5f,?,?,23,?,0,?,0,?,?,?,?,cluster2
213,4549,d593e57a91563ca1ac9a7f8495a7ff8d,?,?,23,?,0,?,0,?,?,?,?,cluster2
214,4985,eaf6ead338de353c8c09f9b2fa463df9,?,?,23,?,0,?,0,?,?,?,?,cluster2
215,5113,f11fc29530153e89af89e90998dd68e1,?,?,23,?,0,?,0,?,?,?,?,cluster2
216,86,03fa7ee8e18a35029ecee240f59f451e,?,?,22,?,0,?,0,?,?,?,?,cluster2
217,1025,2ed78303f87a39e4b61230d77f2076ea,?,?,22,?,0,?,0,?,?,?,?,cluster2
218,2984,895cca3d61f73ccba778311fb0a265db,?,?,22,?,0,?,0,?,?,?,?,cluster2
219,3151,91b2c19eea2932b1957e734e335624ce,?,?,22,?,0,?,0,?,?,?,?,cluster2
220,3184,933a57028e813673a6d1ec6a780147f0,?,?,22,?,0,?,0,?,?,?,?,cluster2
221,3222,9519e91e983f37e8b5c735c1cbda4976,?,?,22,?,0,?,0,?,?,?,?,cluster2
222,3413,9ef3436c09ed3a18b97c20c40be81673,?,?,22,?,0,?,0,?,?,?,?,cluster2
223,3708,adc2d3b98e4e31f0b86db1d27633e6bd,?,?,22,?,0,?,0,?,?,?,?,cluster2
224,3910,b719adb63fd93eff8a0645378b96a6ac,?,?,22,?,0,?,0,?,?,?,?,cluster2
225,3940,b8cd978334883ce2a95bbef4fc93f31f,?,?,22,?,0,?,0,?,?,?,?,cluster2
226,4020,bd772eb5b2ce316c96fb620ddb02a01d,?,?,22,?,0,?,0,?,?,?,?,cluster2
227,4280,c9906814b31e309dba2e69d950b6c80f,?,?,22,?,0,?,0,?,?,?,?,cluster2
228,4493,d2da440a53cc39dca2f2a48d1b846d95,?,?,22,?,0,?,0,?,?,?,?,cluster2
229,591,1af15814e7b2310f904a4518ef10c148,?,?,21.5,?,0,?,0,?,?,?,?,cluster2
230,9,0094c828a39a3b3989d4f50058d49aab,?,?,21,?,0,?,0,?,?,?,?,cluster2
231,87,03fa9782b7ff334fa77c6116a3b28ec3,?,?,21,?,0,?,0,?,?,?,?,cluster2
232,700,204c9f529ce13bd59ae1f5af00328b5a,?,?,21,?,0,?,0,?,?,?,?,cluster2
233,808,2542bee2e93a392b9ecdbbb499a76c8e,?,?,21,?,0,?,0,?,?,?,?,cluster2
234,820,25e3c8f89cbd39da891538e454bb78aa,?,?,21,?,0,?,0,?,?,?,?,cluster2
235,1074,3156df64ca7b3b36b617fc341b51e10c,?,?,21,?,0,?,0,?,?,?,?,cluster2
236,1543,48081cdbc93a3129be8079063e73788d,?,?,21,?,0,?,0,?,?,?,?,cluster2
237,1552,48877e271bad36d6ba8695e65bd73a36,?,?,21,?,0,?,0,?,?,?,?,cluster2
238,1588,4a4a0440d6c1383d8157d1d284b60a85,?,?,21,?,0,?,0,?,?,?,?,cluster2
239,1801,547d76701ba035cea8c1f78a296e284b,?,?,21,?,0,?,0,?,?,?,?,cluster2
240,1816,55a80519041b39e18660ad94ab5c4500,?,?,21,?,0,?,0,?,?,?,?,cluster2
241,3266,972aaf1dce2631a4a0dc2a25d67b64bb,?,?,21,?,0,?,0,?,?,?,?,cluster2
242,3685,ac8927c53e82379b8b40ab32e28a3e3d,?,?,21,?,0,?,0,?,?,?,?,cluster2
243,3770,b14c9c433e7b3230a8547c560bc7a1f7,?,?,21,?,0,?,0,?,?,?,?,cluster2
244,4144,c335e41c687a3eb2a2343cc32ee8f3ac,?,?,21,?,0,?,0,?,?,?,?,cluster2
245,4189,c544777005813d29bedca528beaef63b,?,?,21,?,0,?,0,?,?,?,?,cluster2
246,4230,c74f557e129b30be977c19745ffd5386,?,?,21,?,0,?,0,?,?,?,?,cluster2
247,4289,c9dd8f4dab0e39f8b883557fee4893e9,?,?,21,?,0,?,0,?,?,?,?,cluster2
248,4120,c283676957eb3b6b9b954180e6cb92f1,?,?,20.5,?,0,?,0,?,?,?,?,cluster2
249,566,19cb481dda2f3482a0070aaaefe96074,?,?,20,?,0,?,0,?,?,?,?,cluster2
250,714,21175e877a7738c5b9d4cdc15297dda8,?,?,20,?,0,?,0,?,?,?,?,cluster2
251,830,265d143c21f13465827b3108561db26e,?,?,20,?,0,?,0,?,?,?,?,cluster2
252,1234,38581e69e3f03b939d574a27176cd3bc,?,?,20,?,0,?,0,?,?,?,?,cluster2
253,1415,41955cda8a11315b83c9214c3149cc33,?,?,20,?,0,?,0,?,?,?,?,cluster2
254,1768,532f066c2de93b2d94f06659d6e84d49,?,?,20,?,0,?,0,?,?,?,?,cluster2
255,3555,a661afdcd1003adbb9ff1c0a2ec1a524,?,?,20,?,0,?,0,?,?,?,?,cluster2
256,3702,ad7d7c5dfe01373bb90d128f3e3bd7d8,?,?,20,?,0,?,0,?,?,?,?,cluster2
257,3844,b49bebbd08e3304392d1ccf9c5f92f22,?,?,20,?,0,?,0,?,?,?,?,cluster2
258,4833,e35eec94d7fa3534b4e438045ec4471e,?,?,20,?,0,?,0,?,?,?,?,cluster2
