inst#,actual,predicted,error,prediction
280,1:?,2:good_actor,,0.928
281,1:?,2:good_actor,,0.928
282,1:?,2:good_actor,,1
283,1:?,2:good_actor,,0.928
284,1:?,2:good_actor,,0.928
285,1:?,2:good_actor,,0.928
286,1:?,2:good_actor,,0.928
287,1:?,2:good_actor,,0.928
288,1:?,2:good_actor,,0.928
289,1:?,2:good_actor,,0.928
290,1:?,2:good_actor,,0.9
291,1:?,2:good_actor,,0.928
292,1:?,2:good_actor,,0.8
293,1:?,2:good_actor,,0.928
294,1:?,2:good_actor,,0.9
295,1:?,1:bad_actor,,1
296,1:?,2:good_actor,,0.928
297,1:?,2:good_actor,,0.928
298,1:?,2:good_actor,,0.928
299,1:?,2:good_actor,,0.928
300,1:?,2:good_actor,,0.928
301,1:?,2:good_actor,,0.928
302,1:?,1:bad_actor,,1
303,1:?,2:good_actor,,0.928
304,1:?,2:good_actor,,0.928
305,1:?,2:good_actor,,0.928
306,1:?,2:good_actor,,0.8
307,1:?,2:good_actor,,0.928
308,1:?,2:good_actor,,0.928
309,1:?,2:good_actor,,0.928
310,1:?,2:good_actor,,0.928
311,1:?,2:good_actor,,1
312,1:?,2:good_actor,,0.928
313,1:?,2:good_actor,,0.928
314,1:?,2:good_actor,,0.928
315,1:?,1:bad_actor,,1
316,1:?,2:good_actor,,0.928
317,1:?,2:good_actor,,0.928
318,1:?,2:good_actor,,0.928
319,1:?,2:good_actor,,0.928
320,1:?,2:good_actor,,0.928
321,1:?,2:good_actor,,0.928
322,1:?,2:good_actor,,0.928
323,1:?,2:good_actor,,0.928
324,1:?,2:good_actor,,0.928
325,1:?,2:good_actor,,0.928
326,1:?,2:good_actor,,0.928
327,1:?,2:good_actor,,0.928
328,1:?,2:good_actor,,0.928
329,1:?,2:good_actor,,0.928
330,1:?,2:good_actor,,0.928
331,1:?,2:good_actor,,0.928
332,1:?,2:good_actor,,0.928
333,1:?,2:good_actor,,0.928
334,1:?,2:good_actor,,0.928
335,1:?,2:good_actor,,0.928
336,1:?,2:good_actor,,0.928
337,1:?,2:good_actor,,0.928
338,1:?,2:good_actor,,0.928
339,1:?,2:good_actor,,0.928
340,1:?,2:good_actor,,0.928
341,1:?,2:good_actor,,0.928
342,1:?,2:good_actor,,0.928
343,1:?,2:good_actor,,0.928
344,1:?,2:good_actor,,0.928
345,1:?,2:good_actor,,0.928
346,1:?,2:good_actor,,0.928
347,1:?,2:good_actor,,0.928
348,1:?,2:good_actor,,0.928
349,1:?,2:good_actor,,0.928
350,1:?,2:good_actor,,0.928
351,1:?,2:good_actor,,0.928
352,1:?,1:bad_actor,,1
353,1:?,2:good_actor,,0.928
354,1:?,2:good_actor,,0.928
355,1:?,2:good_actor,,0.928
356,1:?,2:good_actor,,0.928
357,1:?,2:good_actor,,0.928
358,1:?,2:good_actor,,0.928
359,1:?,2:good_actor,,0.928
360,1:?,2:good_actor,,0.928
361,1:?,2:good_actor,,0.928
362,1:?,1:bad_actor,,1
363,1:?,2:good_actor,,0.928
364,1:?,2:good_actor,,0.928
365,1:?,2:good_actor,,0.928
366,1:?,2:good_actor,,0.928
367,1:?,2:good_actor,,0.928
368,1:?,2:good_actor,,0.928
369,1:?,2:good_actor,,0.928
370,1:?,2:good_actor,,0.928
371,1:?,2:good_actor,,0.928
372,1:?,2:good_actor,,0.928
373,1:?,2:good_actor,,0.8
374,1:?,2:good_actor,,0.928
375,1:?,2:good_actor,,0.928
376,1:?,2:good_actor,,0.928
377,1:?,1:bad_actor,,1
378,1:?,2:good_actor,,0.928
379,1:?,2:good_actor,,0.928
380,1:?,2:good_actor,,0.928
381,1:?,2:good_actor,,0.928
382,1:?,2:good_actor,,0.928
383,1:?,1:bad_actor,,1
384,1:?,2:good_actor,,0.928
385,1:?,2:good_actor,,0.928
386,1:?,1:bad_actor,,1
387,1:?,1:bad_actor,,1
388,1:?,2:good_actor,,0.928
389,1:?,2:good_actor,,0.928
390,1:?,2:good_actor,,0.928
391,1:?,2:good_actor,,0.928
392,1:?,2:good_actor,,0.928
393,1:?,2:good_actor,,0.928
394,1:?,2:good_actor,,0.928
395,1:?,2:good_actor,,0.928
396,1:?,2:good_actor,,0.928
397,1:?,2:good_actor,,0.928
398,1:?,2:good_actor,,0.928
399,1:?,2:good_actor,,0.928
400,1:?,2:good_actor,,0.928
401,1:?,2:good_actor,,0.928
402,1:?,2:good_actor,,0.928
403,1:?,2:good_actor,,0.928
404,1:?,2:good_actor,,0.8
405,1:?,2:good_actor,,0.928
406,1:?,2:good_actor,,0.928
407,1:?,2:good_actor,,0.928
408,1:?,2:good_actor,,0.928
409,1:?,2:good_actor,,0.928
410,1:?,2:good_actor,,0.928
411,1:?,1:bad_actor,,1
412,1:?,2:good_actor,,0.928
413,1:?,2:good_actor,,0.928
414,1:?,2:good_actor,,0.928
415,1:?,2:good_actor,,0.928
416,1:?,2:good_actor,,0.928
417,1:?,1:bad_actor,,1
