inst#,actual,predicted,error,prediction
038ca245add439f6985dc28b50fe51d9,1:?,1:bad_actor,,0.762
039188db33af3063a423e2d42ea025fe,1:?,1:bad_actor,,0.997
039e0c6732613e309359f70e85cfcb2f,1:?,1:bad_actor,,0.997
039e46bfb04d3e169545c0e9a2189d49,1:?,2:good_actor,,0.691
039fe70df03e391b8db1848279d63c64,1:?,2:good_actor,,0.691
03a8bd7a8dc135e28d330d991361bf80,1:?,2:good_actor,,0.699
03ab3bac1c103fcca825cfcf3ce7e902,1:?,2:good_actor,,0.691
03b1be3b64e031d88f981cb889df4a89,1:?,2:good_actor,,0.691
03b4e6f779f737498c1d741fd83139a4,1:?,2:good_actor,,0.691
03b5a2f8890b3f68be850c27597e1a7f,1:?,2:good_actor,,0.691
03b83d2594213e6fb8d872a85b703e52,1:?,1:bad_actor,,0.762
03b9e7e9bcee32f4851a20f9e11e3abe,1:?,2:good_actor,,0.691
03ba3a5ff86e3ef0988fb3d97c1169aa,1:?,1:bad_actor,,0.999
03bb757e27e53a2580a30664f734b14c,1:?,2:good_actor,,0.699
03c09d3d7d753ab7aab3be37873bcce3,1:?,1:bad_actor,,0.762
03ce06f8b15b3d4bbf726ef4f736cae6,1:?,1:bad_actor,,0.762
03d2bad705443e80b09c6a8751c4718c,1:?,1:bad_actor,,0.999
03d4b1f265ee39888f6dfb61544c1449,1:?,1:bad_actor,,0.762
03d999b8435f3d429337aa2ce2a14341,1:?,1:bad_actor,,0.999
03dc6ab30c153e6aa2d79ece9bf06924,1:?,2:good_actor,,0.691
03e0de3ef5c63ed3952bd46da66d52b2,1:?,1:bad_actor,,0.762
03e9c1df5ab93c83b0ad18a9ad0b6c2a,1:?,2:good_actor,,0.691
03f19261cb13392992b2296607217a96,1:?,2:good_actor,,0.691
03f76b5895053b2e9a0a24ff751d2033,1:?,1:bad_actor,,0.762
03fa7ee8e18a35029ecee240f59f451e,1:?,2:good_actor,,0.691
03fc666929f33cc6955af05e7f0ba1b7,1:?,1:bad_actor,,0.762
0409aca9ba8e3719bfd1fdde849cbad2,1:?,1:bad_actor,,0.997
040fbeefc3ab33d0919f9fd6257fe2d6,1:?,2:good_actor,,0.691
0410fa73b9083de980264c70b91835cc,1:?,2:good_actor,,0.691
04132dccd38534e3a01181cd19c9c1a5,1:?,2:good_actor,,0.691
0413ed7d47c73d1fafcd3c7038e80971,1:?,1:bad_actor,,0.762
04203706015b340bb37d08d017694b8d,1:?,2:good_actor,,0.691
04204f0acb3f3206b4a6a349c55f8ee3,1:?,2:good_actor,,0.691
04209bf311283fc6b95a4da4945472a0,1:?,2:good_actor,,0.691
04221054cb9c3a13aae9393b9205c47c,1:?,2:good_actor,,0.691
04255e991edd3a199d48a454e870dc46,1:?,1:bad_actor,,0.999
0427d94b3a58379f9a88979de85eb21a,1:?,1:bad_actor,,0.762
04285219e07d395b8a9279cc11625e1f,1:?,2:good_actor,,0.691
0429194eb04a38a3a43fcd176ed9ea51,1:?,2:good_actor,,0.691
