No.,Instance_number,author_guid,account_age,author_type,average_hashtags,average_links,average_minutes_between_posts,average_post_lenth,average_posts_per_day_active_days,average_posts_per_day_total,average_user_mentions,default_profile,default_profile_image,friends_followers_ratio,number_followers,number_friends,number_of_crawled_posts,number_of_posts,Cluster
580,2635,476ab1d157d23f9c8fb14a2db1e83265,85,?,0,1,242.922222,14,4,0,0,0,0,7,9,63,4,10,cluster3
581,7583,cf088712459732cf8b85ab9969d5d1ad,464,?,0,0.25,0.2,4,4,7,0,0,0,6.752137,117,790,4,3425,cluster3
582,7322,c815d622e314352c9b7e66c04ed6d9be,237,?,0,0.5,4841.683333,16.5,1,20,1,0,0,6.751908,262,1769,2,4801,cluster3
583,4554,7ae0179f681635059be7139543c7bce1,2672,?,0,0,8.433333,22.5,2,0,1,0,0,6.567568,222,1458,2,1696,cluster3
584,7101,c23e67ff421b336bb127960806070bfd,1861,?,0,1,1762.716667,15,1,0,0,1,0,6.358025,81,515,2,670,cluster3
585,6821,ba390d4a60cf3082baa3a1bc6dfbf1d8,32,?,0,1,20229.96667,23,1,74,1,1,0,6.356643,143,909,2,2374,cluster3
586,974,196d7a9f62ba3f48bcab2e0823f02ab8,2440,?,0,0.5,0.266667,4.5,2,4,0.5,0,0,6.288288,333,2094,2,10173,cluster3
587,6427,b01b78f835963e70ae4d69c0b2a693de,213,?,0,1,1221.847222,16.571429,1.75,1,0.285714,1,0,6.236842,38,237,7,343,cluster3
588,6924,bd7a43c7f71036ae815a4adde02fe7a3,1068,?,0,0,0.033333,9.5,2,5,1,0,0,6.228495,372,2317,2,5457,cluster3
589,4274,7371c1762f3b37428d9924ca6ba9990b,52,?,0,2,16047.5,20.5,1,0,0,0,0,6.108108,37,226,2,23,cluster3
590,2327,3e7b1257e52739bfa5ebf3412e40bcd8,400,?,0,0,5.85,17,2,0,1.5,1,0,6.083333,12,73,2,16,cluster3
591,4633,7d1850a732eb3d21b271e1db6295ad8c,19,?,0,1,0.916667,15.5,2,8,0,0,0,5.873171,205,1204,2,156,cluster3
592,9192,fde89c9a7d9b3ffab4945531e3917e87,1400,?,0,0,1.3,8.5,2,8,1,0,0,5.763761,436,2513,2,11594,cluster3
593,5664,9a0f13ad152b38adac54a36e2d3ace4b,31,?,0,1,?,23,1,564,1,1,0,5.692068,643,3660,1,17513,cluster3
594,1224,20afd1cd960331aba306a657b0f6eaac,498,?,0,0,17158.66667,5,1,49,0,0,0,5.626087,115,647,2,24568,cluster3
595,3514,5f94f67086b23728ad00817d8b383f85,1215,?,0,0.5,5829.816667,16.5,1,26,1,0,0,5.600677,591,3310,2,32415,cluster3
596,2531,44799a6465f339d68ac07adac27ee774,285,?,0,2,?,15,1,4,1,1,1,5.6,25,140,1,1223,cluster3
597,437,0c0f4b85232f32caa576d7fac319f871,1432,?,0,0.5,1.616667,16.5,2,1,1,1,0,5.533708,178,985,2,2696,cluster3
598,8570,ec616aba640d3b1ea63991b45b02cc3c,1825,?,0,0.5,7331.8,16.5,1,14,1,0,0,5.485265,509,2792,2,27307,cluster3
599,2474,42ff4ab62c07368ca15cd92fc6434b00,103,?,0,1,33080.25833,6,1,123,0,1,0,5.441573,890,4843,3,12724,cluster3
600,3357,5bbec8b388f83a4ca2ec0d344f7b7484,132,?,0,0,0.2,9.5,2,272,1,1,0,5.419173,532,2883,2,36011,cluster3
